Event_Title,Date,Time,Venue,Address,url,Latitude,Longitude,Category
BNI Platinum One - Networking at MCG,2025-08-21,06:45,Melbourne Cricket Ground,"Brunton Avenue Richmond, VIC 3002",https://www.eventbrite.com.au/e/bni-platinum-one-networking-at-mcg-tickets-1117096699299?aff=ebdssbdestsearch,-37.8214457,144.9834593,Business/Networking
The Machine Stops,2025-08-22,19:30,Theatre Works,"Saint Leonards Avenue St Kilda, VIC 3182",https://www.eventbrite.com.au/e/the-machine-stops-tickets-1110782302769?aff=ebdssbdestsearch,-37.8638328,144.9768976,Theatre
Akmal - LIVE - Thornbury,2025-08-22,19:30,The Thornbury Theatre,"859 High St, Thornbury VIC 3071, Australia",https://www.facebook.com/events/594485380317679/,-37.754662,145.0011167,Comedy
"Duncan Trussell: Thornbury Theatre, Melbourne",2025-08-23,18:00,The Thornbury Theatre,"859 High St, Thornbury VIC 3071, Australia",https://www.facebook.com/events/1886191708876144/,-37.754662,145.0011167,Comedy
Altona Beach Film Festival | 2025 Film Premiere & Award Presentation,2025-08-23,00:00,Altona Sports Club,"11 Altona Rd, Altona VIC 3018, Australia",https://www.facebook.com/events/1428262988554725/,-37.85754867,144.85121805353086,Cinema
Dr Joe Dispenza CHANGE YOUR MIND…CREATE NEW RESULTS with Angelina Morley,2025-08-24,08:30,Melbourne CERES in the Van Raay Room,"Cnr Stewart Street Roberts Street Brunswick East, VIC 3057",https://www.eventbrite.com/e/dr-joe-dispenza-change-your-mindcreate-new-results-with-angelina-morley-tickets-1055671936179?aff=ebdssbdestsearch,-37.7656615,144.9824113,Talks/Workshops
The Simon & Garfunkel Story,2025-08-24,12:00,Hamer Hall,"32 Southgate Ave, Southbank VIC 3006, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=SIMONGAR25,-37.8201455,144.9679946,
Alex Warren,2025-08-25,12:00,Forum Melbourne,"150 Flinders St, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=WARREN25,-37.8166268,144.9695761,
Keith Urban,2025-08-25,12:00,Rod Laver Arena,"200 Batman Ave, Melbourne VIC 3000, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=KEITHURB25,-37.8216161,144.9785584,
Time Management Training Course (Melbourne),2025-08-27,09:00,Karstens Melbourne,"123 Queen St, Melbourne VIC 3000, Australia 123 Queen Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/time-management-training-course-melbourne-tickets-1112144587399?aff=ebdssbdestsearch,-37.815914,144.9608628,Talks/Workshops
Russell Morris,2025-08-27,12:00,Hamer Hall,"32 Southgate Ave, Southbank VIC 3006, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=RUSSELLM25,-37.8201455,144.9679946,
Implementing SSP in Primary Schools Using PLD,2025-08-29,09:00,United Co.,"425 Smith Street Fitzroy, VIC 3065",https://www.eventbrite.com.au/e/implementing-ssp-in-primary-schools-using-pld-tickets-1231756760629?aff=ebdssbdestsearch,-37.7956368,144.9844614,Talks/Workshops
﻿Learn to cook Thai: Green Curry Prawns & Thai Roti,2025-08-30,11:00,BangPop,"35 South Wharf Promenade South Wharf, VIC 3006",https://www.eventbrite.com.au/e/learn-to-cook-thai-green-curry-prawns-thai-roti-tickets-1341323828679?aff=ebdssbdestsearch,-37.824201,144.95135,Talks/Workshops
Saving Grace - Jungle Fever Tour,2025-08-31,05:00,Saving Grace,"32 Church Ln, Melbourne VIC 3000, Australia",https://www.facebook.com/events/1363156408070206/,-37.8177293,144.9577832,Music
Prioritising & Planning Workshop (Brisbane),2025-09-02,09:00,123 Queen St,"123 Queen Street Melbourne, VIC 3000",https://www.eventbrite.com/e/prioritising-planning-workshop-brisbane-tickets-732667637627?aff=ebdssbdestsearch,-37.8157528,144.9607103,Talks/Workshops
Paul Kelly,2025-09-02,12:00,MyState Bank Arena,"601 Brooker Hwy, Glenorchy TAS 7010, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=PAULKELL25&v=MYB,-42.82416569999999,147.2827222,
"Effective Communication Skills  with DISC - 1 Day Workshop, Melbourne",2025-09-02,09:00,Karstens Melbourne,"123 Queen Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/effective-communication-skills-with-disc-1-day-workshop-melbourne-tickets-133031925069?aff=ebdssbdestsearch,-37.8157528,144.9607103,Talks/Workshops
"Advanced Leadership Skills  - 2 Day Workshop, Melbourne",2025-09-03,09:00,Karstens Melbourne,"123 Queen St, Melbourne VIC 3000, Australia 123 Queen Street Melbourne, VIC 3000Get directions",https://www.eventbrite.com.au/e/advanced-leadership-skills-2-day-workshop-melbourne-tickets-133182555609?aff=ebdssbdestsearch,-37.815914,144.9608628,Talks/Workshops
Minute Taking Skills Workshop (Melbourne),2025-09-03,09:00,123 Queen St,"123 Queen Street Melbourne, VIC 3000",https://www.eventbrite.com/e/minute-taking-skills-workshop-melbourne-tickets-744796776207?aff=ebdssbdestsearch,-37.8157528,144.9607103,Talks/Workshops
The MET Course,2025-09-04,08:00,Austin Hospital,"145 Studley Road Heidelberg, VIC 3084",https://www.eventbrite.com/e/the-met-course-tickets-1136987463109?aff=ebdssbdestsearch,-37.7553922,145.0574729,Talks/Workshops
Sabaton,2025-09-05,12:00,Margaret Court Arena,"5XHH+G3 Melbourne VIC, Australia",https://premier.ticketek.com.au/shows/show.aspx?sh=SABAT25,-37.8211276,144.9776364,
Evolution Events presents Evolve Boiler 360 Vol.2,2025-09-06,17:00,Festival Hall,"300 Dudley St, West Melbourne VIC 3003, Australia",https://www.facebook.com/events/1721845811756276/,-37.8098193,144.9508057,Other
Max Styler (US) | Winter Series pres by. Thick as Thieves,2025-09-07,00:00,Revolver Upstairs,"Level 2/229 Chapel St, Prahran VIC 3181, Australia",https://www.facebook.com/events/2138787836578501/,-37.8505902,144.9933469,Music
